include,site_code,context_label,context_short,component,source_model,source_file,start_node,end_node,span_basis,caveat
yes,ARB,L'Arbreda Level H,H,Protoaurignacian,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start ARB Level-H,Boundary End ARB Level-H,regional modelled start-end boundaries,Diagnostic Protoaurignacian context in the regional model.
yes,ARB,L'Arbreda Level G,G,Aurignacian,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start ARB Level-G,Boundary End ARB Level-G,regional modelled start-end boundaries,Diagnostic Aurignacian context in the regional model.
yes,ARB,L'Arbreda Level E,E,Gravettian,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start ARB Level-E,Boundary End ARB Level-E,regional modelled start-end boundaries,Directly dated Gravettian human evidence used instead of the broader Level F bracket.
yes,TX,Teixoneres Unit III,III,MP,TX_local_S1,oxcal/local_outputs/Teixoneres/TX_baseline_v1-S1.csv,Boundary Start Teixoneres Chamber X model,Boundary Transition Teixoneres Unit III/II,local refined modelled start-end boundaries,Local model used because the regional sensitivity run gives unstable Teixoneres outer boundaries.
yes,TX,Teixoneres Unit II,II,Non-diagnostic human presence,TX_local_S1,oxcal/local_outputs/Teixoneres/TX_baseline_v1-S1.csv,Boundary Transition Teixoneres Unit III/II,Boundary End Teixoneres Unit II,local refined modelled start-end boundaries,Non-diagnostic or weakly diagnostic post-MP human-presence layer.
yes,CV,Coll Verdaguer DCU infill,DCU,Non-diagnostic human presence,CV_local_S1,oxcal/local_outputs/Coll_Verdaguer/CV_local_baseline_v1_S1_OxA23636_out.csv,Boundary Start DCU infill,Boundary End DCU infill,local refined modelled start-end boundaries,Local DCU infill span; retained as contextual non-diagnostic human-presence evidence rather than a chrono-cultural attribution.
yes,CY,Riera dels Canyars RC Layer I-Ia,I-Ia,Non-diagnostic human presence,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start RC Layer I-Ia,Boundary End RC Layer I-Ia,regional modelled start-end boundaries,Open-air human-presence comparator with low diagnostic cultural resolution.
yes,GE,Cova del Gegant Layer IV,IV,Non-diagnostic human presence,GE_local_candidate_v1,oxcal/local_outputs/Gegant/GE_local_baseline_candidate_v1.csv,Boundary Boundary Layer IV bottom,Boundary Boundary Layer IV top,local modelled layer boundaries,Layer span used as contextual non-diagnostic human-presence evidence; it is not a diagnostic technocomplex span.
yes,GE,Cova del Gegant Layer XXIV,XXIV,Non-diagnostic human presence,GE_local_candidate_v1,oxcal/local_outputs/Gegant/GE_local_baseline_candidate_v1.csv,Boundary Boundary Layer XXIV bottom,Boundary Boundary Layer XXIV top,local modelled layer boundaries,Layer span used as contextual non-diagnostic human-presence evidence; it is not a diagnostic technocomplex span.
yes,GE,Cova del Gegant Layer III,III,Non-diagnostic human presence,GE_local_candidate_v1,oxcal/local_outputs/Gegant/GE_local_baseline_candidate_v1.csv,Boundary Boundary Layer III bottom,Boundary Boundary Layer III top,local modelled layer boundaries,Layer span used as contextual non-diagnostic human-presence evidence; it is not a diagnostic technocomplex span.
no,GE,Cova del Gegant Layer II,GE II,Non-diagnostic human presence,GE_local_candidate_v1,oxcal/local_outputs/Gegant/GE_local_baseline_candidate_v1.csv,Boundary Boundary Layer II bottom,Boundary Boundary Layer II top,local modelled layer boundaries,Excluded from Panel B because the upper boundary opens well beyond the transition interval and would overstate a late non-diagnostic layer as a comparable transition span.
no,FM,Cova de la Font Major CDS-inf basal pulse,FM basal,Non-diagnostic human presence,FM_baseline_v2_1,oxcal/local_outputs/Font_Major/FM_baseline_v2_1.csv,Boundary Transition CDI / CDS_inf basal,Boundary Transition CDS_inf basal / CDS_inf upper,local modelled transition boundaries,Excluded from Panel B because the local model does not provide a tightly bounded transition-context span; Font Major is retained in Panel A as calibrated non-diagnostic evidence.
yes,GR,La Griera Level IIa,IIa,Aurignacian,M1_regional_backbone,oxcal/regional_outputs/M1_regional_cultural_backbone_baseline_v2.csv,Boundary Start GR Level-IIa,Boundary End GR Level-IIa,regional modelled start-end boundaries,Late Aurignacian reference from the regional cultural backbone.
yes,ARB,L'Arbreda Level I,I,MP,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Start ARB Level-I,Boundary End ARB Level-I,regional modelled start-end boundaries,Final MP reference context in the regional model.
no,GE,Cova del Gegant Layer IV top comparator,GE IV regional,Non-diagnostic human presence,M5_FPM_S2,oxcal/regional_outputs/M5_FPM_S2_regional_PM_end_refined_v1.csv,Boundary Layer IV top,Boundary Layer IV top,geochronological comparator,Excluded because this is a single regional comparator boundary rather than a start-end span for a human-presence context.
